rt,participantID,age,gender,language,amE,education,comments,item,qud,utterance,verb,prior,which,response,response_type,environment
34074,304,48,female,English,AmE,graduated college,""":""""}",bike,ai,q-stop,stop,lower,FIRST,0.78,PRE,question
34074,304,48,female,English,AmE,graduated college,""":""""}",bike,ai,q-stop,stop,lower,SECOND,0.19,notPOST,question
79118.19999998808,256,54,male,English,AmE,graduated college,""":""""}",subway,ai,neg-stop,stop,lower,FIRST,1,PRE,negation
79118.19999998808,256,54,male,English,AmE,graduated college,""":""""}",subway,ai,neg-stop,stop,lower,SECOND,0,notPOST,negation
33800,201,25,female,English,AmE,graduated college,""":""n/a""}",petshelter,ai,q-stop,stop,higher,FIRST,0.66,PRE,question
33800,201,25,female,English,AmE,graduated college,""":""n/a""}",petshelter,ai,q-stop,stop,higher,SECOND,0.31,notPOST,question
37054.70000000298,518,62,female,English,AmE,graduated college,""":""""}",subway,ai,q-know,know,higher,FIRST,1,CC,question
37054.70000000298,518,62,female,English,AmE,graduated college,""":""""}",subway,ai,q-know,know,higher,SECOND,1,BEL,question
73962.39999997616,102,36,female,English,AmE,graduated college,""":""""}",subway,ai,q-stop,stop,higher,FIRST,0.93,PRE,question
73962.39999997616,102,36,female,English,AmE,graduated college,""":""""}",subway,ai,q-stop,stop,higher,SECOND,0.94,notPOST,question
76228.09999999963,462,62,male,English,AmE,some college,""":""it was fine""}",bike,ai,q-know,know,lower,FIRST,0.17,CC,question
76228.09999999963,462,62,male,English,AmE,some college,""":""it was fine""}",bike,ai,q-know,know,lower,SECOND,0.19,BEL,question
143141.5,22,50,female,English,AmE,hold a higher degree,""":""none""}",subway,ai,q-stop,stop,lower,FIRST,0.75,PRE,question
143141.5,22,50,female,English,AmE,hold a higher degree,""":""none""}",subway,ai,q-stop,stop,lower,SECOND,0.8,notPOST,question
107799.60000014304,231,60,male,English,AmE,graduated college,""":""""}",petshelter,nai,neg-know,know,higher,FIRST,0,BEL,negation
107799.60000014304,231,60,male,English,AmE,graduated college,""":""""}",petshelter,nai,neg-know,know,higher,SECOND,1,CC,negation
58745.10000038147,127,64,male,English,AmE,graduated college,""":""""}",bike,ai,q-know,know,lower,FIRST,0,CC,question
58745.10000038147,127,64,male,English,AmE,graduated college,""":""""}",bike,ai,q-know,know,lower,SECOND,0,BEL,question
44561,47,65,female,English,AmE,some college,""":""""}",bike,nai,neg-stop,stop,higher,FIRST,0.040000000000000036,notPOST,negation
44561,47,65,female,English,AmE,some college,""":""""}",bike,nai,neg-stop,stop,higher,SECOND,0.95,PRE,negation
80321.70000000112,2,34,male,English,AmE,graduated high school,""":""""}",bike,ai,neg-stop,stop,higher,FIRST,1,PRE,negation
80321.70000000112,2,34,male,English,AmE,graduated high school,""":""""}",bike,ai,neg-stop,stop,higher,SECOND,0.99,notPOST,negation
65221.60000002384,448,70,female,English,AmE,graduated college,""":""""}",petshelter,ai,neg-know,know,higher,FIRST,0.64,CC,negation
65221.60000002384,448,70,female,English,AmE,graduated college,""":""""}",petshelter,ai,neg-know,know,higher,SECOND,0.47,BEL,negation
80843.09999996424,402,60,female,English,AmE,graduated high school,""":""""}",bike,ai,q-stop,stop,lower,FIRST,0.01,PRE,question
80843.09999996424,402,60,female,English,AmE,graduated high school,""":""""}",bike,ai,q-stop,stop,lower,SECOND,0,notPOST,question
37227.09999999404,162,39,female,English,AmE,graduated high school,""":""""}",petshelter,nai,q-know,know,lower,FIRST,0,BEL,question
37227.09999999404,162,39,female,English,AmE,graduated high school,""":""""}",petshelter,nai,q-know,know,lower,SECOND,0,CC,question
84437.30000001192,470,46,male,English,AmE,graduated high school,""":""""}",petshelter,ai,q-stop,stop,lower,FIRST,0.05,PRE,question
84437.30000001192,470,46,male,English,AmE,graduated high school,""":""""}",petshelter,ai,q-stop,stop,lower,SECOND,0.01,notPOST,question
46031.5,560,28,female,English,AmE,graduated college,""":""""}",bike,nai,q-know,know,higher,FIRST,0.66,BEL,question
46031.5,560,28,female,English,AmE,graduated college,""":""""}",bike,nai,q-know,know,higher,SECOND,0.66,CC,question
63279.200000000186,146,35,male,English,AmE,graduated high school,""":""I think this is an interesting concept for a survey. You're trying to judge how people make assumptions based on information they know vs. information they don't.""}",petshelter,nai,neg-know,know,lower,FIRST,0,BEL,negation
63279.200000000186,146,35,male,English,AmE,graduated high school,""":""I think this is an interesting concept for a survey. You're trying to judge how people make assumptions based on information they know vs. information they don't.""}",petshelter,nai,neg-know,know,lower,SECOND,1,CC,negation
32574.5,305,55,male,English,AmE,graduated college,""":""""}",bike,ai,neg-stop,stop,higher,FIRST,1,PRE,negation
32574.5,305,55,male,English,AmE,graduated college,""":""""}",bike,ai,neg-stop,stop,higher,SECOND,1,notPOST,negation
58664.39999997616,536,67,female,English,AmE,graduated college,""":""None""}",bike,nai,q-know,know,lower,FIRST,1,BEL,question
58664.39999997616,536,67,female,English,AmE,graduated college,""":""None""}",bike,nai,q-know,know,lower,SECOND,0.96,CC,question
57345,57,36,female,English,AmE,graduated college,""":""Thank you! I enjoyed participating. I wasn't sure if Charley was able to volunteer due to their allergy.""}",petshelter,ai,neg-stop,stop,lower,FIRST,0.41,PRE,negation
57345,57,36,female,English,AmE,graduated college,""":""Thank you! I enjoyed participating. I wasn't sure if Charley was able to volunteer due to their allergy.""}",petshelter,ai,neg-stop,stop,lower,SECOND,0.5,notPOST,negation
48064.09999999404,498,57,female,English,AmE,graduated college,""":""""}",petshelter,nai,neg-stop,stop,higher,FIRST,0.010000000000000009,notPOST,negation
48064.09999999404,498,57,female,English,AmE,graduated college,""":""""}",petshelter,nai,neg-stop,stop,higher,SECOND,1,PRE,negation
70667.99999999988,217,73,female,English,AmE,some college,""":""none""}",petshelter,nai,q-stop,stop,higher,FIRST,0.24,notPOST,question
70667.99999999988,217,73,female,English,AmE,some college,""":""none""}",petshelter,nai,q-stop,stop,higher,SECOND,0.97,PRE,question
203937.19999998808,84,35,female,English,AmE,hold a higher degree,""":""""}",petshelter,ai,q-stop,stop,lower,FIRST,0.28,PRE,question
203937.19999998808,84,35,female,English,AmE,hold a higher degree,""":""""}",petshelter,ai,q-stop,stop,lower,SECOND,0.06,notPOST,question
51004.59999996424,562,61,female,English,AmE,some college,""":""""}",petshelter,nai,neg-know,know,lower,FIRST,0,BEL,negation
51004.59999996424,562,61,female,English,AmE,some college,""":""""}",petshelter,nai,neg-know,know,lower,SECOND,0,CC,negation
49523,266,42,male,English,AmE,some college,""":""Nothing further. ""}",bike,nai,q-stop,stop,higher,FIRST,0.51,notPOST,question
49523,266,42,male,English,AmE,some college,""":""Nothing further. ""}",bike,nai,q-stop,stop,higher,SECOND,0.49,PRE,question
41623,134,35,male,English,AmE,hold a higher degree,""":""The instructions and questions were clear and easy to follow. The scenario was straightforward and the reasoning required was simple and intuitive.""}",subway,nai,neg-stop,stop,higher,FIRST,0,notPOST,negation
41623,134,35,male,English,AmE,hold a higher degree,""":""The instructions and questions were clear and easy to follow. The scenario was straightforward and the reasoning required was simple and intuitive.""}",subway,nai,neg-stop,stop,higher,SECOND,1,PRE,negation
75561.20000001788,416,32,female,English,AmE,graduated college,""":""""}",subway,ai,neg-know,know,lower,FIRST,1,CC,negation
75561.20000001788,416,32,female,English,AmE,graduated college,""":""""}",subway,ai,neg-know,know,lower,SECOND,0,BEL,negation
54853.90000000002,275,56,female,English,AmE,graduated college,""":""none""}",subway,nai,neg-know,know,lower,FIRST,0.13,BEL,negation
54853.90000000002,275,56,female,English,AmE,graduated college,""":""none""}",subway,nai,neg-know,know,lower,SECOND,0.23,CC,negation
66290.39999997616,151,62,female,English,AmE,hold a higher degree,""":""""}",petshelter,ai,q-stop,stop,lower,FIRST,0,PRE,question
66290.39999997616,151,62,female,English,AmE,hold a higher degree,""":""""}",petshelter,ai,q-stop,stop,lower,SECOND,0,notPOST,question
50661.89999997616,452,26,male,English,AmE,graduated high school,""":""""}",petshelter,ai,neg-know,know,higher,FIRST,0.55,CC,negation
50661.89999997616,452,26,male,English,AmE,graduated high school,""":""""}",petshelter,ai,neg-know,know,higher,SECOND,0.3,BEL,negation
51620.59999999404,300,66,female,English,AmE,graduated college,""":""I thought it was an interesting scenario. I think it is slightly more likely that the person biked before receiving a promotion than after although it could go either way because people have a variety of of reasons for wanting to bike to work including getting exercise and/or saving money, and/or environmental concerns. Thank you for the opportunity to participate; I greatly appreciate it!""}",bike,nai,q-stop,stop,lower,FIRST,0.49,notPOST,question
51620.59999999404,300,66,female,English,AmE,graduated college,""":""I thought it was an interesting scenario. I think it is slightly more likely that the person biked before receiving a promotion than after although it could go either way because people have a variety of of reasons for wanting to bike to work including getting exercise and/or saving money, and/or environmental concerns. Thank you for the opportunity to participate; I greatly appreciate it!""}",bike,nai,q-stop,stop,lower,SECOND,0.64,PRE,question
42055.69999998808,356,52,female,English,AmE,graduated high school,""":""""}",petshelter,ai,q-know,know,higher,FIRST,0.91,CC,question
42055.69999998808,356,52,female,English,AmE,graduated high school,""":""""}",petshelter,ai,q-know,know,higher,SECOND,0.75,BEL,question
69590.5,457,34,male,English,AmE,hold a higher degree,""":""""}",bike,ai,neg-know,know,lower,FIRST,0.85,CC,negation
69590.5,457,34,male,English,AmE,hold a higher degree,""":""""}",bike,ai,neg-know,know,lower,SECOND,0.13,BEL,negation
287962.1999999881,141,71,male,English,AmE,some college,""":""I thought what if the promotion also included a heavier workload. If it did would those promoted have time to bike as opposed to faster transportation. ""}",bike,nai,q-stop,stop,higher,FIRST,0.27,notPOST,question
287962.1999999881,141,71,male,English,AmE,some college,""":""I thought what if the promotion also included a heavier workload. If it did would those promoted have time to bike as opposed to faster transportation. ""}",bike,nai,q-stop,stop,higher,SECOND,0.73,PRE,question
41225.100000000006,97,62,female,English,AmE,graduated high school,""":""""}",petshelter,ai,q-stop,stop,higher,FIRST,0.78,PRE,question
41225.100000000006,97,62,female,English,AmE,graduated high school,""":""""}",petshelter,ai,q-stop,stop,higher,SECOND,0.76,notPOST,question
77512.69999999925,154,49,male,English,AmE,some college,""":""""}",bike,nai,neg-know,know,higher,FIRST,0,BEL,negation
77512.69999999925,154,49,male,English,AmE,some college,""":""""}",bike,nai,neg-know,know,higher,SECOND,0.82,CC,negation
59148.09999996424,501,46,female,English,AmE,graduated college,""":""Nothing""}",petshelter,nai,q-know,know,lower,FIRST,0.82,BEL,question
59148.09999996424,501,46,female,English,AmE,graduated college,""":""Nothing""}",petshelter,nai,q-know,know,lower,SECOND,0.62,CC,question
30691.10000000149,330,24,male,English,AmE,graduated college,""":""""}",subway,nai,neg-stop,stop,higher,FIRST,0,notPOST,negation
30691.10000000149,330,24,male,English,AmE,graduated college,""":""""}",subway,nai,neg-stop,stop,higher,SECOND,1,PRE,negation
82638,412,41,male,English,AmE,some college,""":""""}",petshelter,ai,neg-know,know,lower,FIRST,0,CC,negation
82638,412,41,male,English,AmE,some college,""":""""}",petshelter,ai,neg-know,know,lower,SECOND,0.78,BEL,negation
214183.19999999923,511,51,female,English,AmE,hold a higher degree,""":""No comment""}",subway,ai,neg-stop,stop,higher,FIRST,1,PRE,negation
